city,admin_name,lat,lng,forecast_date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Aïn Taoujdat,Fès-Meknès,33.9333,-5.2167,2026-09-15,34.5,22.3,0.0,0,18.2,35.6,2
Aïn Taoujdat,Fès-Meknès,33.9333,-5.2167,2026-09-16,31.3,20.4,0.0,0,18.9,36.7,0
Aïn Taoujdat,Fès-Meknès,33.9333,-5.2167,2026-09-17,27.8,17.9,0.0,3,16.5,31.3,45
Aïn Taoujdat,Fès-Meknès,33.9333,-5.2167,2026-09-18,29.8,16.6,0.0,8,14.3,27.7,3
Aïn Taoujdat,Fès-Meknès,33.9333,-5.2167,2026-09-19,33.3,18.5,0.0,3,17.1,31.7,3
Aïn Taoujdat,Fès-Meknès,33.9333,-5.2167,2026-09-20,36.7,20.5,0.0,3,19.9,37.4,2
Aïn Taoujdat,Fès-Meknès,33.9333,-5.2167,2026-09-21,37.3,22.1,0.0,0,17.9,32.8,2
Barrechid,Casablanca-Settat,33.27,-7.5872,2026-09-15,35.9,21.4,0.0,0,20.9,38.5,2
Barrechid,Casablanca-Settat,33.27,-7.5872,2026-09-16,29.1,19.6,0.0,0,18.7,33.8,2
Barrechid,Casablanca-Settat,33.27,-7.5872,2026-09-17,28.2,18.3,0.0,0,18.4,33.5,3
Barrechid,Casablanca-Settat,33.27,-7.5872,2026-09-18,29.6,17.5,0.0,3,18.5,33.5,3
Barrechid,Casablanca-Settat,33.27,-7.5872,2026-09-19,32.7,16.8,0.0,3,17.7,33.1,1
Barrechid,Casablanca-Settat,33.27,-7.5872,2026-09-20,37.5,21.4,0.0,3,22.0,40.0,2
Barrechid,Casablanca-Settat,33.27,-7.5872,2026-09-21,34.0,22.1,0.0,0,20.1,36.0,2
Ben Guerir,Marrakech-Safi,32.23,-7.95,2026-09-15,37.1,24.5,0.0,3,21.3,42.5,3
Ben Guerir,Marrakech-Safi,32.23,-7.95,2026-09-16,33.0,19.8,0.0,0,19.5,39.2,1
Ben Guerir,Marrakech-Safi,32.23,-7.95,2026-09-17,28.7,17.2,0.0,0,15.7,33.1,2
Ben Guerir,Marrakech-Safi,32.23,-7.95,2026-09-18,30.5,17.2,0.0,4,14.6,30.6,3
Ben Guerir,Marrakech-Safi,32.23,-7.95,2026-09-19,34.5,18.1,0.0,5,18.0,36.7,2
Ben Guerir,Marrakech-Safi,32.23,-7.95,2026-09-20,39.4,25.7,0.0,1,24.0,42.1,3
Ben Guerir,Marrakech-Safi,32.23,-7.95,2026-09-21,36.2,23.4,0.0,3,18.3,33.5,3
Beni Yakhlef,Casablanca-Settat,33.6555,-7.3221,2026-09-15,30.6,20.2,0.0,0,17.3,31.7,45
Beni Yakhlef,Casablanca-Settat,33.6555,-7.3221,2026-09-16,26.8,19.5,0.0,0,18.6,34.2,2
Beni Yakhlef,Casablanca-Settat,33.6555,-7.3221,2026-09-17,26.7,18.9,0.0,0,16.8,31.3,3
Beni Yakhlef,Casablanca-Settat,33.6555,-7.3221,2026-09-18,26.6,17.5,0.0,3,18.3,33.5,3
Beni Yakhlef,Casablanca-Settat,33.6555,-7.3221,2026-09-19,28.7,16.7,0.0,2,17.7,32.0,1
Beni Yakhlef,Casablanca-Settat,33.6555,-7.3221,2026-09-20,33.7,20.2,0.0,3,17.0,31.3,2
Beni Yakhlef,Casablanca-Settat,33.6555,-7.3221,2026-09-21,32.5,21.9,0.0,0,17.3,32.8,45
Berkane,Oriental,34.9167,-2.3167,2026-09-15,27.1,17.8,0.0,0,12.8,27.7,2
Berkane,Oriental,34.9167,-2.3167,2026-09-16,32.0,17.5,0.0,0,14.6,31.0,1
Berkane,Oriental,34.9167,-2.3167,2026-09-17,26.1,18.4,0.0,0,16.2,34.6,3
Berkane,Oriental,34.9167,-2.3167,2026-09-18,25.6,18.9,0.0,18,17.1,34.6,45
Berkane,Oriental,34.9167,-2.3167,2026-09-19,26.4,17.9,0.0,8,21.4,44.6,45
Berkane,Oriental,34.9167,-2.3167,2026-09-20,27.2,20.1,0.0,1,14.7,28.4,45
Berkane,Oriental,34.9167,-2.3167,2026-09-21,27.1,18.6,0.0,0,13.4,25.6,3
Biougra,Souss-Massa,30.2144,-9.3708,2026-09-15,37.8,27.1,0.0,3,20.6,34.2,2
Biougra,Souss-Massa,30.2144,-9.3708,2026-09-16,33.7,23.5,0.0,0,29.5,49.3,1
Biougra,Souss-Massa,30.2144,-9.3708,2026-09-17,27.8,21.1,0.0,0,32.6,55.1,2
Biougra,Souss-Massa,30.2144,-9.3708,2026-09-18,28.2,20.2,0.0,0,24.6,41.8,2
Biougra,Souss-Massa,30.2144,-9.3708,2026-09-19,29.0,20.5,0.0,0,23.2,38.9,2
Biougra,Souss-Massa,30.2144,-9.3708,2026-09-20,28.5,20.9,0.0,0,22.8,39.2,1
Biougra,Souss-Massa,30.2144,-9.3708,2026-09-21,38.4,21.1,0.0,0,20.9,37.4,1
Bir Jdid,Casablanca-Settat,33.3737,-8.0002,2026-09-15,29.8,20.8,0.0,0,16.6,32.8,45
